id,city,country,region,short_description,culture,adventure,nature,beaches,nightlife,cuisine,wellness,urban,seclusion
c54acf38-3029-496b-8c7a-8343ad82785c,Milan,Italy,europe,"Chic streets lined with fashion boutiques, historic architecture, and lively piazzas create a sophisticated yet welcoming atmosphere, perfect for leisurely exploration.",5,2,2,1,4,5,3,5,2
0bd12654-ed64-424e-a044-7bc574bcf078,Yasawa Islands,Fiji,oceania,"Crystal-clear waters, secluded beaches, and vibrant coral reefs create a serene paradise perfect for unwinding and immersing in natural beauty.",2,4,5,5,2,3,4,1,5
73036cda-9134-46fc-a2c6-807782d59dfb,Whistler,Canada,north_america,"Snow-capped peaks and lush forests create a serene escape, where outdoor adventures meet cozy village vibes and crisp mountain air.",3,5,5,2,3,3,4,2,4
3872c9c0-6b6e-49e1-9743-f46bfe591b86,Guanajuato,Mexico,north_america,"Winding cobblestone streets and colorful facades create a charming, vibrant atmosphere, where history and lively festivals fill the air with excitement.",5,3,3,1,3,4,3,4,2
e1ebc1b6-8798-422d-847a-22016faff3fd,Surabaya,Indonesia,asia,"Bustling streets filled with the aroma of local spices, vibrant markets, and a rich cultural tapestry invite exploration and discovery.",4,3,3,2,3,4,3,4,2
26bd92cc-1bd7-46bc-a132-9c227115194a,Nuuk,Greenland,north_america,"Rugged landscapes meet the calm of icy fjords, where the crisp air and vibrant local culture create a unique Arctic charm.",3,4,5,2,2,3,2,2,5
20f80ed8-ce7f-43ad-a34d-a0cb156f5d4e,Windhoek,Namibia,africa,"A blend of modernity and tradition, with bustling markets, German colonial architecture, and the vast Namibian landscape providing a unique backdrop.",3,4,4,1,3,3,3,3,4
0dae5759-947a-40c9-aaea-e2e647f1061e,Kingston,Jamaica,north_america,"Vibrant streets pulse with reggae rhythms, while lush hills and beaches offer a serene escape, creating a captivating blend of energy and tranquility.",4,3,3,3,4,4,3,3,2
4e2d3678-bbb3-428e-a1df-0ba956ef3c77,Nafplio,Greece,europe,"Charming cobblestone streets, vibrant bougainvillea, and the gentle sea breeze create a serene atmosphere perfect for leisurely exploration and relaxation.",4,3,4,3,3,4,3,3,4
b78d096a-87d0-4010-baac-e4879cab6aa9,Tbilisi,Georgia,asia,"Cobblestone streets wind through eclectic neighborhoods, where vibrant markets and ancient architecture create a welcoming blend of history and modern charm.",4,3,3,1,3,4,3,3,3
